Slate ID,Entry Name,Entry ID,Previous Picks,Day 1 (Round of 64),Day 2 (Round of 64),Day 3 (Round of 32),Pick 1,Pick Objective,Instructions,Team Name,Team ID,Game Info
e9b488eb-225f-4c69-aa4a-dc87c81271f6,Entry 1,019d00e8-ef29-402c-b734-7b0d7c77d560,NA,Illinois,Florida,Arkansas,5ea7c1aa-0bfc-47e8-8435-28821e1bf209,Pick Winners,1. Locate the team(s) you want to select in the list to the right,Purdue,b94a5674-927b-4b6d-91bb-776da741e0aa,MIA@PUR 03/22/2026 12:10pm ET
e9b488eb-225f-4c69-aa4a-dc87c81271f6,Entry 2,019d00e8-ef29-4091-980a-0320b4e67f45,NA,Illinois,Virginia,Arkansas,2ea39297-9b1d-4908-b4dc-392274c18b3a,Pick Winners,2. Copy the ID of the team(s),Miami (FL),4c8b8317-c6db-46d3-9e57-43cad4d49607,MIA@PUR 03/22/2026 12:10pm ET
e9b488eb-225f-4c69-aa4a-dc87c81271f6,Entry 3,019d00e8-ef29-4119-adef-2398bfc25b02,NA,Illinois,Purdue,Arkansas,2ea39297-9b1d-4908-b4dc-392274c18b3a,Pick Winners,3. Paste the ID into the desired entry under the Pick column,Iowa State,b46ec7e5-fa6c-451f-945e-5e535024bcc4,UK@ISU 03/22/2026 2:45pm ET
e9b488eb-225f-4c69-aa4a-dc87c81271f6,Entry 4,019d00e8-ef29-4499-bd93-cb0465874894,NA,Illinois,Kansas,Arkansas,2ea39297-9b1d-4908-b4dc-392274c18b3a,Pick Winners,4. The Team ID is the only text that can be input into the cell,Kentucky,6fdf8f76-e295-4406-b5a5-0e77fb53a5ee,UK@ISU 03/22/2026 2:45pm ET
e9b488eb-225f-4c69-aa4a-dc87c81271f6,Entry 5,019d00e8-ef29-45a4-89fe-f8b777d21a27,NA,Illinois,Arizona,Arkansas,2ea39297-9b1d-4908-b4dc-392274c18b3a,Pick Winners,"5. Do not make edits anywhere in the sheet, or else the file will be invalid",Kansas,77e8940e-cb31-42c7-bca0-271249909a4b,SJU@KU 03/22/2026 5:15pm ET
e9b488eb-225f-4c69-aa4a-dc87c81271f6,Entry 6,019d00e8-ef29-45f9-9168-6cf48fa30540,NA,Illinois,St. John's,Arkansas,2ea39297-9b1d-4908-b4dc-392274c18b3a,Pick Winners,NA,St. John's,7c049b43-d637-406d-b50f-5e4a2beb629a,SJU@KU 03/22/2026 5:15pm ET
e9b488eb-225f-4c69-aa4a-dc87c81271f6,Entry 7,019d00e8-ef29-46ba-ba0b-9e1a03a1284f,NA,Illinois,UConn,Arkansas,2ea39297-9b1d-4908-b4dc-392274c18b3a,Pick Winners,NA,Virginia,840e7069-b4c0-4780-8cd1-95b66ad88ceb,TENN@UVA 03/22/2026 6:10pm ET
e9b488eb-225f-4c69-aa4a-dc87c81271f6,Entry 8,019d00e8-ef29-46c4-a30d-b5579a3ff74c,NA,Illinois,Tennessee,Arkansas,2ea39297-9b1d-4908-b4dc-392274c18b3a,Pick Winners,NA,Tennessee,1e4ab2a3-cec8-4ebd-96a2-7d62e9e1a24e,TENN@UVA 03/22/2026 6:10pm ET
e9b488eb-225f-4c69-aa4a-dc87c81271f6,Entry 9,019d00e8-ef29-4750-971c-9d2410fe1474,NA,Illinois,Alabama,Arkansas,2ea39297-9b1d-4908-b4dc-392274c18b3a,Pick Winners,NA,Florida,2ea39297-9b1d-4908-b4dc-392274c18b3a,IOWA@FLA 03/22/2026 7:10pm ET
e9b488eb-225f-4c69-aa4a-dc87c81271f6,Entry 10,019d00e8-ef29-496e-aad4-82d9c566fff4,NA,Gonzaga,Florida,Arkansas,5ea7c1aa-0bfc-47e8-8435-28821e1bf209,Pick Winners,NA,Iowa,7533674c-1b62-4252-9d3e-3de38e7fd3c6,IOWA@FLA 03/22/2026 7:10pm ET
